feature_type,regressor,train_size,trial,method,coverage,width
Multivariate,Ridge,1654,4,Original_GitHub,0.9037433155080213,290.6409094637585
Multivariate,Ridge,1654,4,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,4,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,5,Original_GitHub,0.9038840416549395,290.35795308523814
Multivariate,Ridge,1654,5,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,5,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,6,Original_GitHub,0.9044469462426119,290.12979910518027
Multivariate,Ridge,1654,6,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,6,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,7,Original_GitHub,0.9043062200956937,289.704821145474
Multivariate,Ridge,1654,7,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,7,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,8,Original_GitHub,0.9038840416549395,290.0235456363097
Multivariate,Ridge,1654,8,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,8,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,1654,9,Original_GitHub,0.9040247678018576,290.1245413626996
Multivariate,Ridge,1654,9,MAPIE_Online,0.8933295806360821,298.11877678652485
Multivariate,Ridge,1654,9,MAPIE_Batch,0.7438784126090627,220.45380411819627
Multivariate,Ridge,2433,0,Original_GitHub,0.909277698751383,297.7201505993005
Multivariate,Ridge,2433,0,Reimplementation,0.909277698751383,297.7201505993005
Multivariate,Ridge,2433,0,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,0,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,1,Original_GitHub,0.9088035403824878,298.06791960788433
Multivariate,Ridge,2433,1,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,1,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,2,Original_GitHub,0.9076971708550656,298.26623526064594
Multivariate,Ridge,2433,2,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,2,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,3,Original_GitHub,0.908013276434329,298.50763566664216
Multivariate,Ridge,2433,3,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,3,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,4,Original_GitHub,0.9099099099099099,297.57631632553915
Multivariate,Ridge,2433,4,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,4,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,5,Original_GitHub,0.908645487592856,298.19217134427385
Multivariate,Ridge,2433,5,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,5,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,6,Original_GitHub,0.9081713292239608,298.1271171181969
Multivariate,Ridge,2433,6,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,6,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,7,Original_GitHub,0.9083293820135926,297.98978600146205
Multivariate,Ridge,2433,7,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,7,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,8,Original_GitHub,0.9078552236446973,298.12104175673835
Multivariate,Ridge,2433,8,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,8,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,Ridge,2433,9,Original_GitHub,0.9097518571202782,297.31903937150685
Multivariate,Ridge,2433,9,MAPIE_Online,0.8825667773036194,301.78736261648226
Multivariate,Ridge,2433,9,MAPIE_Batch,0.7112375533428165,213.3359607474564
Multivariate,RF,876,0,Original_GitHub,0.8963723997970573,273.23492716169864
Multivariate,RF,876,0,Reimplementation,0.8963723997970573,273.23492716169864
Multivariate,RF,876,0,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,0,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,1,Original_GitHub,0.8952308472856418,280.7859434361381
Multivariate,RF,876,1,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,1,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,2,Original_GitHub,0.8982749873160832,272.9868679662069
Multivariate,RF,876,2,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,2,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,3,Original_GitHub,0.8967529173008625,277.3985080926391
Multivariate,RF,876,3,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,3,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,4,Original_GitHub,0.8973871131405378,283.8611942946739
Multivariate,RF,876,4,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,4,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,5,Original_GitHub,0.8948503297818367,278.12542217769123
Multivariate,RF,876,5,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,5,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,6,Original_GitHub,0.8962455606291223,279.92084638860297
Multivariate,RF,876,6,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,6,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,7,Original_GitHub,0.898021308980213,269.5704842296431
Multivariate,RF,876,7,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,7,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,876,8,Original_GitHub,0.8966260781329275,273.72300735068904
Multivariate,RF,876,8,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,8,MAPIE_Batch,0.5840943683409436,136.84810792283315
