feature_type,regressor,alpha,trial,method,coverage,width
Multivariate,Ridge,0.05,0,Original_GitHub,0.954337899543379,399.41802320416235
Multivariate,Ridge,0.05,0,Reimplementation,0.954337899543379,399.41802320416235
Multivariate,Ridge,0.05,0,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,0,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,1,Original_GitHub,0.954337899543379,398.3849454251821
Multivariate,Ridge,0.05,1,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,1,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,2,Original_GitHub,0.9546232876712328,394.8743031493694
Multivariate,Ridge,0.05,2,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,2,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,3,Original_GitHub,0.954480593607306,395.5255655536588
Multivariate,Ridge,0.05,3,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,3,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,4,Original_GitHub,0.9546232876712328,400.1457354587529
Multivariate,Ridge,0.05,4,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,4,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,5,Original_GitHub,0.954337899543379,399.1378879152737
Multivariate,Ridge,0.05,5,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,5,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,6,Original_GitHub,0.954480593607306,398.4329790390062
Multivariate,Ridge,0.05,6,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,6,MAPIE_Batch,0.8012271689497716,276.3609267653515
Multivariate,Ridge,0.05,7,Original_GitHub,0.954480593607306,397.6312132420997
Multivariate,Ridge,0.05,7,MAPIE_Online,0.9443493150684932,352.789700483967
Multivariate,Ridge,0.05,7,MAPIE_Batch,0.8012271689497716,276.3609267653515
